八千代緑が丘,やちよみどりがおか,Yachiyo-Midorigaoka
元町・中華街,もとまち・ちゅかがい,Motomachi-Chukagai
萩山,はぎやま,Hagiyama
拝島,はいじま,Haijima
東大和市,ひがしやまとし,Higashi-Yamatoshi
小平,こだいら,Kodaira
鳩ヶ谷,はとがや,Hatogaya
武蔵砂川,むさしすながわ,Musashi-Sunagawa
小川,おがわ,Ogawa
西武立川,せいぶたちかわ,Seibu-Tachikawa
玉川上水,たまがわじょすい,Tamagawa-Josui
吾野,あがの,Agano
秋津,あきつ,Akitsu
仏子,ぶし,Bushi
江古田,えこだ,Ekoda
富士見台,ふじみだい,Fujimidai
飯能,はんのう,Hanno
ひばりヶ丘,ひばりがおか,Hibarigaoka
東吾野,ひがしあがの,Higashi-Agano
東飯能,ひがしはんのう,Higashi-Hanno
東久留米,ひがしくるめ,Higashi-Kurume
東長崎,ひがしながさき,Higashi-Nagasaki
保谷,ほうや,Hoya
池袋,いけぶくろ,Ikebukuro
稲荷山公園,いなりやまこえん,Inariyama-Koen
入間市,いるまし,Irumashi
清瀬,きよせ,Kiyose
高麗,こま,Koma
小手指,こてさし,Kotesashi
元加治,もとかじ,Motokaji
武蔵藤沢,むさしふじさわ,Musashi-Fujisawa
武蔵横手,むさしよこて,Musashi-Yokote
中村橋,なかむらばし,Nakamurabashi
練馬高野台,ねりまたかのだい,Nerima-Takanodai
練馬,ねりま,Nerima
西所沢,にしところざわ,Nishi-Tokorozawa
大泉学園,おおいずみがくえん,Oizumi-Gakuen
桜台,さくらだい,Sakuradai
狭山ヶ丘,さやまがおか,Sayamagaoka
石神井公園,しゃくじいうこえん,Shakujii-Koen
椎名町,しいなまち,Shiinamachi
所沢,ところざわ,Tokorozawa
東村山,ひがしむらやま,Higashi-Murayama
恋ヶ窪,こいがくぼ,Koigakubo
国分寺,こくぶんじ,Kokubunji
鷹の台,たかのだい,Takanodai
西武球場前,せいぶきゅじょうまえ,Seibukyujo-Mae
下山口,しもやまぐち,Shimo-Yamaguchi
芦ヶ久保,あしがくぼ,Ashigakubo
西吾野,にしあがの,Nishi-Agano
西武秩父,せいぶちちぶ,Seibu-Chichibu
正丸,しょうまる,Shomaru
横瀬,よこぜ,Yokoze
小竹向原,こたけむかいはら,Kotake-Mukaihara
新桜台,しんさくらだい,Shin-Sakuradai
西武園,せいぶえん,Seibuen
新井薬師前,あらいやくしまえ,Araiyakushi-Mae
花小金井,はなこがねい,Hana-Koganei
東伏見,ひがしふしみ,Higashi-Fushimi
本川越,ほんかわごえ,Hon-Kawagoe
井荻,いおぎ,Iogi
入曽,いりそ,Iriso
上井草,かみいぐさ,Kami-Igusa
上石神井,かみしゃくじい,Kami-Shakujii
航空公園,こうくうこうえん,Koku-Koen
久米川,くめがわ,Kumegawa
南大塚,みなみおおつか,Minami-Otsuka
武蔵関,むさしせき,Musashi-Seki
中井,なかい,Nakai
野方,のがた,Nogata
沼袋,ぬまぶくろ,Numabukuro
鷺ノ宮,さぎのみや,Saginomiya
狭山市,さやまし,Sayamashi
西武新宿,せいぶしんじゅく,Seibu-Shinjuku
西武柳沢,せいぶやぎさわ,Seibu-Yagisawa
下井草,しもいぐさ,Shimo-Igusa
下落合,しもおちあい,Shimo-Ochiai
新狭山,しんさやま,Shin-Sayama
新所沢,しんところざわ,Shin-Tokorozawa
高田馬場,たかだのばば,Takadanobaba
田無,たなし,Tanashi
都立家政,とりつかせい,Toritsu-Kasei
是政,これまさ,Koremasa
競艇場前,きょうていじょまえ,Kyoteijo-Mae
