八千代緑が丘,やちよみどりがおか,YachiyoMidorigaoka
元町・中華街,もとまち・ちゅかがい,MotomachiChukagai
萩山,はぎやま,Hagiyama
拝島,はいじま,Haijima
東大和市,ひがしやまとし,HigashiYamatoshi
小平,こだいら,Kodaira
鳩ヶ谷,はとがや,Hatogaya
武蔵砂川,むさしすながわ,MusashiSunagawa
小川,おがわ,Ogawa
西武立川,せいぶたちかわ,SeibuTachikawa
玉川上水,たまがわじょすい,TamagawaJosui
吾野,あがの,Agano
秋津,あきつ,Akitsu
仏子,ぶし,Bushi
江古田,えこだ,Ekoda
富士見台,ふじみだい,Fujimidai
飯能,はんのう,Hanno
ひばりヶ丘,ひばりがおか,Hibarigaoka
東吾野,ひがしあがの,HigashiAgano
東飯能,ひがしはんのう,HigashiHanno
東久留米,ひがしくるめ,HigashiKurume
東長崎,ひがしながさき,HigashiNagasaki
保谷,ほうや,Hoya
池袋,いけぶくろ,Ikebukuro
稲荷山公園,いなりやまこえん,InariyamaKoen
入間市,いるまし,Irumashi
清瀬,きよせ,Kiyose
高麗,こま,Koma
小手指,こてさし,Kotesashi
元加治,もとかじ,Motokaji
武蔵藤沢,むさしふじさわ,MusashiFujisawa
武蔵横手,むさしよこて,MusashiYokote
中村橋,なかむらばし,Nakamurabashi
練馬高野台,ねりまたかのだい,NerimaTakanodai
練馬,ねりま,Nerima
西所沢,にしところざわ,NishiTokorozawa
大泉学園,おおいずみがくえん,OizumiGakuen
桜台,さくらだい,Sakuradai
狭山ヶ丘,さやまがおか,Sayamagaoka
石神井公園,しゃくじいうこえん,ShakujiiKoen
椎名町,しいなまち,Shiinamachi
所沢,ところざわ,Tokorozawa
東村山,ひがしむらやま,HigashiMurayama
恋ヶ窪,こいがくぼ,Koigakubo
国分寺,こくぶんじ,Kokubunji
鷹の台,たかのだい,Takanodai
西武球場前,せいぶきゅじょうまえ,SeibukyujoMae
下山口,しもやまぐち,ShimoYamaguchi
芦ヶ久保,あしがくぼ,Ashigakubo
西吾野,にしあがの,NishiAgano
西武秩父,せいぶちちぶ,SeibuChichibu
正丸,しょうまる,Shomaru
横瀬,よこぜ,Yokoze
小竹向原,こたけむかいはら,KotakeMukaihara
新桜台,しんさくらだい,ShinSakuradai
西武園,せいぶえん,Seibuen
新井薬師前,あらいやくしまえ,AraiyakushiMae
花小金井,はなこがねい,HanaKoganei
東伏見,ひがしふしみ,HigashiFushimi
本川越,ほんかわごえ,HonKawagoe
井荻,いおぎ,Iogi
入曽,いりそ,Iriso
上井草,かみいぐさ,KamiIgusa
上石神井,かみしゃくじい,KamiShakujii
航空公園,こうくうこうえん,KokuKoen
久米川,くめがわ,Kumegawa
南大塚,みなみおおつか,MinamiOtsuka
武蔵関,むさしせき,MusashiSeki
中井,なかい,Nakai
野方,のがた,Nogata
沼袋,ぬまぶくろ,Numabukuro
鷺ノ宮,さぎのみや,Saginomiya
狭山市,さやまし,Sayamashi
西武新宿,せいぶしんじゅく,SeibuShinjuku
西武柳沢,せいぶやぎさわ,SeibuYagisawa
下井草,しもいぐさ,ShimoIgusa
下落合,しもおちあい,ShimoOchiai
新狭山,しんさやま,ShinSayama
新所沢,しんところざわ,ShinTokorozawa
高田馬場,たかだのばば,Takadanobaba
田無,たなし,Tanashi
都立家政,とりつかせい,ToritsuKasei
是政,これまさ,Koremasa
競艇場前,きょうていじょまえ,KyoteijoMae
武蔵境,むさしさかい,MusashiSakai
新小金井,しんこがねい,ShinKoganei
白糸台,しらいとだい,Shiraitodai
多磨,たま,Tama
